time,P,G(i),H_sun,T2m,WS10m,Int
20190110:2110,0.0,0.0,0.0,-2.28,2.14,0.0
20190110:2210,0.0,0.0,0.0,-2.53,1.93,0.0
20190110:2310,0.0,0.0,0.0,-3.44,1.59,0.0
20190111:0010,0.0,0.0,0.0,-4.9,1.59,0.0
20190111:0110,0.0,0.0,0.0,-5.9,1.86,0.0
20190111:0210,0.0,0.0,0.0,-6.61,2.07,0.0
20190111:0310,0.0,0.0,0.0,-6.78,2.07,0.0
20190111:0410,0.0,0.0,0.0,-6.61,2.07,0.0
20190111:0510,0.0,0.0,0.0,-6.05,2.07,0.0
20190111:0610,0.0,0.0,0.0,-5.23,2.41,0.0
20190111:0710,0.0,0.0,0.0,-3.91,2.55,0.0
20190111:0810,6290.0,25.74,7.27,-3.12,3.1,0.0
20190111:0910,48465.0,121.66,13.14,-2.69,3.38,0.0
20190111:1010,10905.0,37.68,17.07,-2.34,3.59,0.0
20190111:1110,18935.0,56.99,18.69,-2.06,3.66,0.0
20190111:1210,24105.0,68.93,17.84,-1.91,3.52,0.0
20190111:1310,12735.0,42.28,14.59,-1.82,3.31,0.0
20190111:1410,11610.0,39.52,9.28,-1.7,3.52,0.0
20190111:1510,0.0,0.0,0.0,-1.68,4.14,0.0
20190111:1610,0.0,0.0,0.0,-1.71,3.86,0.0
20190111:1710,0.0,0.0,0.0,-1.74,3.31,0.0
20190111:1810,0.0,0.0,0.0,-1.61,3.38,0.0
20190111:1910,0.0,0.0,0.0,-1.62,3.86,0.0
20190111:2010,0.0,0.0,0.0,-1.35,3.72,0.0
20190111:2110,0.0,0.0,0.0,-1.01,3.86,0.0
20190111:2210,0.0,0.0,0.0,-0.67,3.79,0.0
20190111:2310,0.0,0.0,0.0,-0.38,3.86,0.0
20190112:0010,0.0,0.0,0.0,0.11,3.93,0.0
20190112:0110,0.0,0.0,0.0,0.48,3.93,0.0
20190112:0210,0.0,0.0,0.0,0.71,3.93,0.0
20190112:0310,0.0,0.0,0.0,0.89,3.93,0.0
20190112:0410,0.0,0.0,0.0,1.04,3.86,0.0
20190112:0510,0.0,0.0,0.0,1.05,3.79,0.0
20190112:0610,0.0,0.0,0.0,1.14,3.79,0.0
20190112:0710,0.0,0.0,0.0,0.94,3.86,0.0
20190112:0810,27150.0,76.28,7.36,1.06,3.86,0.0
20190112:0910,25770.0,73.5,13.26,1.22,3.72,0.0
20190112:1010,16300.0,51.47,17.21,1.41,3.52,0.0
20190112:1110,10685.0,37.68,18.85,1.67,3.86,0.0
20190112:1210,37200.0,99.55,18.01,1.76,4.14,0.0
20190112:1310,12875.0,43.2,14.77,1.96,4.62,0.0
20190112:1410,9600.0,34.93,9.46,1.71,4.48,0.0
20190112:1510,0.0,1.84,2.49,1.37,4.28,0.0
20190112:1610,0.0,0.0,0.0,1.17,4.34,0.0
20190112:1710,0.0,0.0,0.0,1.0,4.48,0.0
20190112:1810,0.0,0.0,0.0,0.98,4.69,0.0
20190112:1910,0.0,0.0,0.0,1.01,5.03,0.0
20190112:2010,0.0,0.0,0.0,1.02,5.1,0.0
20190112:2110,0.0,0.0,0.0,1.01,5.1,0.0
20190112:2210,0.0,0.0,0.0,1.01,4.97,0.0
20190112:2310,0.0,0.0,0.0,0.96,4.83,0.0
20190113:0010,0.0,0.0,0.0,0.85,4.48,0.0
20190113:0110,0.0,0.0,0.0,0.75,4.21,0.0
20190113:0210,0.0,0.0,0.0,0.62,4.07,0.0
20190113:0310,0.0,0.0,0.0,0.88,4.0,0.0
20190113:0410,0.0,0.0,0.0,1.54,4.14,0.0
20190113:0510,0.0,0.0,0.0,2.03,4.28,0.0
20190113:0610,0.0,0.0,0.0,2.2,4.28,0.0
20190113:0710,0.0,0.0,0.0,1.96,3.59,0.0
20190113:0810,6785.0,27.57,7.47,2.18,3.52,0.0
20190113:0910,9560.0,34.93,13.39,2.54,3.86,0.0
20190113:1010,21235.0,63.42,17.35,2.6,4.21,0.0
20190113:1110,32495.0,89.16,19.01,1.92,3.59,0.0
20190113:1210,27340.0,77.21,18.18,1.33,4.07,0.0
20190113:1310,27980.0,78.58,14.96,1.28,3.79,0.0
20190113:1410,34275.0,92.57,9.65,1.67,4.69,0.0
20190113:1510,0.0,2.76,2.68,2.59,5.66,0.0
20190113:1610,0.0,0.0,0.0,3.51,5.66,0.0
20190113:1710,0.0,0.0,0.0,4.16,6.0,0.0
20190113:1810,0.0,0.0,0.0,4.58,6.34,0.0
20190113:1910,0.0,0.0,0.0,5.36,6.14,0.0
20190113:2010,0.0,0.0,0.0,5.4,6.62,0.0
20190113:2110,0.0,0.0,0.0,5.35,6.62,0.0
20190113:2210,0.0,0.0,0.0,5.07,6.34,0.0
20190113:2310,0.0,0.0,0.0,4.54,6.41,0.0
20190114:0010,0.0,0.0,0.0,3.81,6.48,0.0
20190114:0110,0.0,0.0,0.0,3.18,5.86,0.0
20190114:0210,0.0,0.0,0.0,2.78,5.72,0.0
20190114:0310,0.0,0.0,0.0,2.59,5.52,0.0
20190114:0410,0.0,0.0,0.0,2.6,5.79,0.0
20190114:0510,0.0,0.0,0.0,2.36,5.79,0.0
20190114:0610,0.0,0.0,0.0,1.91,5.1,0.0
20190114:0710,0.0,0.0,0.0,1.98,4.69,0.0
20190114:0810,166560.0,380.26,7.58,1.67,4.34,0.0
20190114:0910,154595.0,351.89,13.52,1.86,4.07,0.0
20190114:1010,187315.0,423.22,17.51,2.12,4.69,0.0
20190114:1110,83755.0,200.37,19.18,2.22,4.62,0.0
20190114:1210,126170.0,290.92,18.37,2.04,4.34,0.0
20190114:1310,3865.0,19.3,15.15,1.95,4.76,0.0
20190114:1410,166485.0,379.68,9.84,1.83,4.97,0.0
20190114:1510,0.0,4.6,2.87,1.29,5.17,0.0
20190114:1610,0.0,0.0,0.0,0.55,4.69,0.0
20190114:1710,0.0,0.0,0.0,0.0,4.83,0.0
20190114:1810,0.0,0.0,0.0,-0.38,4.69,0.0
20190114:1910,0.0,0.0,0.0,-0.87,4.28,0.0
20190114:2010,0.0,0.0,0.0,-1.13,4.14,0.0
20190114:2110,0.0,0.0,0.0,-1.28,3.93,0.0
20190114:2210,0.0,0.0,0.0,-1.48,4.0,0.0
20190114:2310,0.0,0.0,0.0,-1.73,4.0,0.0
20190115:0010,0.0,0.0,0.0,-1.65,4.21,0.0
20190115:0110,0.0,0.0,0.0,-1.46,4.41,0.0
20190115:0210,0.0,0.0,0.0,-1.19,4.62,0.0
20190115:0310,0.0,0.0,0.0,-1.05,4.69,0.0
20190115:0410,0.0,0.0,0.0,-1.03,4.55,0.0
20190115:0510,0.0,0.0,0.0,-0.95,4.48,0.0
20190115:0610,0.0,0.0,0.0,-0.9,4.41,0.0
20190115:0710,0.0,0.0,0.0,-0.28,4.62,0.0
20190115:0810,68255.0,165.43,7.7,-0.2,3.72,0.0
20190115:0910,41280.0,107.37,13.65,0.03,4.55,0.0
20190115:1010,20665.0,61.58,17.67,0.65,5.59,0.0
20190115:1110,22210.0,65.26,19.36,1.0,5.59,0.0
20190115:1210,64185.0,157.91,18.56,1.7,5.52,0.0
20190115:1310,16260.0,51.47,15.35,2.11,5.24,0.0
20190115:1410,1820.0,12.87,10.04,2.14,3.86,0.0
20190115:1510,0.0,3.68,3.07,2.02,4.55,0.0
20190115:1610,0.0,0.0,0.0,1.79,4.41,0.0
20190115:1710,0.0,0.0,0.0,1.7,4.48,0.0
20190115:1810,0.0,0.0,0.0,1.78,4.62,0.0
20190115:1910,0.0,0.0,0.0,1.97,4.69,0.0
20190115:2010,0.0,0.0,0.0,2.09,4.76,0.0
20190115:2110,0.0,0.0,0.0,2.13,4.69,0.0
20190115:2210,0.0,0.0,0.0,2.15,4.41,0.0
20190115:2310,0.0,0.0,0.0,2.11,4.07,0.0
20190116:0010,0.0,0.0,0.0,2.07,3.86,0.0
20190116:0110,0.0,0.0,0.0,2.07,3.79,0.0
20190116:0210,0.0,0.0,0.0,1.96,3.66,0.0
20190116:0310,0.0,0.0,0.0,1.75,3.45,0.0
20190116:0410,0.0,0.0,0.0,1.44,3.31,0.0
20190116:0510,0.0,0.0,0.0,1.27,3.1,0.0
20190116:0610,0.0,0.0,0.0,1.0,2.76,0.0
20190116:0710,0.0,0.0,0.0,1.18,2.83,0.0
20190116:0810,13440.0,44.44,7.82,1.17,2.62,0.0
20190116:0910,56970.0,142.43,13.8,1.59,2.41,0.0
20190116:1010,30380.0,84.56,17.83,2.44,3.17,0.0
20190116:1110,128310.0,298.34,19.54,3.21,3.03,0.0
20190116:1210,177035.0,407.05,18.76,3.82,2.9,0.0
20190116:1310,249485.0,575.28,15.55,4.41,2.83,0.0
20190116:1410,199575.0,462.49,10.25,3.76,2.48,0.0
20190116:1510,370.0,7.35,3.27,3.27,2.14,0.0
20190116:1610,0.0,0.0,0.0,3.05,2.34,0.0
20190116:1710,0.0,0.0,0.0,1.97,2.48,0.0
20190116:1810,0.0,0.0,0.0,1.37,2.62,0.0
20190116:1910,0.0,0.0,0.0,0.87,2.41,0.0
20190116:2010,0.0,0.0,0.0,0.53,2.55,0.0
20190116:2110,0.0,0.0,0.0,0.51,2.55,0.0
20190116:2210,0.0,0.0,0.0,0.43,2.55,0.0
20190116:2310,0.0,0.0,0.0,0.4,2.55,0.0
20190117:0010,0.0,0.0,0.0,0.26,2.62,0.0
20190117:0110,0.0,0.0,0.0,0.29,2.83,0.0
20190117:0210,0.0,0.0,0.0,0.6,3.03,0.0
20190117:0310,0.0,0.0,0.0,1.21,3.45,0.0
20190117:0410,0.0,0.0,0.0,1.97,4.07,0.0
20190117:0510,0.0,0.0,0.0,2.55,4.34,0.0
20190117:0610,0.0,0.0,0.0,2.65,4.21,0.0
20190117:0710,0.0,0.0,0.0,2.94,3.59,0.0
