time,P,G(i),H_sun,T2m,WS10m,Int
20190708:0010,0.0,0.0,0.0,13.54,0.97,0.0
20190708:0110,0.0,0.0,0.0,12.8,1.03,0.0
20190708:0210,0.0,0.0,0.0,12.73,1.45,0.0
20190708:0310,0.0,0.0,0.0,12.43,1.59,0.0
20190708:0410,6120.0,26.72,6.82,12.2,1.45,0.0
20190708:0510,39545.0,115.26,15.88,12.75,1.17,0.0
20190708:0610,110560.0,289.48,25.44,14.5,1.45,0.0
20190708:0710,214280.0,533.15,35.17,15.23,1.59,0.0
20190708:0810,271525.0,675.47,44.67,16.57,2.28,0.0
20190708:0910,330280.0,829.7,53.32,17.8,3.1,0.0
20190708:1010,380530.0,969.33,60.0,18.88,3.52,0.0
20190708:1110,348480.0,886.86,62.99,19.85,3.59,0.0
20190708:1210,312675.0,792.3,61.04,20.45,3.59,0.0
20190708:1310,317355.0,804.66,54.99,20.83,3.52,0.0
20190708:1410,233345.0,586.02,46.66,20.94,3.45,0.0
20190708:1510,167715.0,424.8,37.28,20.93,3.31,0.0
20190708:1610,89480.0,237.61,27.56,20.54,3.17,0.0
20190708:1710,39915.0,116.33,17.93,20.19,3.03,0.0
20190708:1810,6755.0,29.3,8.74,19.52,2.83,0.0
20190708:1910,0.0,0.0,0.0,17.39,2.9,0.0
20190708:2010,0.0,0.0,0.0,16.29,2.69,0.0
20190708:2110,0.0,0.0,0.0,15.4,2.41,0.0
20190708:2210,0.0,0.0,0.0,14.7,2.07,0.0
20190708:2310,0.0,0.0,0.0,13.84,1.72,0.0
20190709:0010,0.0,0.0,0.0,13.07,1.66,0.0
20190709:0110,0.0,0.0,0.0,12.31,1.59,0.0
20190709:0210,0.0,0.0,0.0,11.66,1.45,0.0
20190709:0310,0.0,0.0,0.0,11.24,1.38,0.0
20190709:0410,3010.0,17.24,6.71,10.65,1.31,0.0
20190709:0510,30655.0,89.29,15.77,11.56,1.17,0.0
20190709:0610,88915.0,229.63,25.33,13.02,1.45,0.0
20190709:0710,212370.0,524.28,35.06,13.8,1.66,0.0
20190709:0810,283680.0,702.79,44.56,15.02,2.07,0.0
20190709:0910,256895.0,636.29,53.2,16.03,2.55,0.0
20190709:1010,174675.0,433.88,59.88,16.88,2.83,0.0
20190709:1110,196030.0,486.74,62.88,17.02,2.83,0.0
20190709:1210,226280.0,564.39,60.94,18.08,2.9,0.0
20190709:1310,187030.0,465.03,54.92,17.84,3.1,0.0
20190709:1410,166160.0,414.55,46.59,18.44,3.24,0.0
20190709:1510,174585.0,436.96,37.22,18.41,3.17,0.0
20190709:1610,110355.0,296.94,27.5,18.48,3.1,0.0
20190709:1710,30030.0,110.66,17.87,18.3,3.1,0.0
20190709:1810,14090.0,49.12,8.67,17.75,2.9,0.0
20190709:1910,0.0,0.0,0.0,16.1,2.97,0.0
20190709:2010,0.0,0.0,0.0,15.23,2.9,0.0
20190709:2110,0.0,0.0,0.0,14.34,2.55,0.0
20190709:2210,0.0,0.0,0.0,13.7,2.14,0.0
20190709:2310,0.0,0.0,0.0,12.93,1.79,0.0
20190710:0010,0.0,0.0,0.0,12.06,1.59,0.0
20190710:0110,0.0,0.0,0.0,11.48,1.38,0.0
20190710:0210,0.0,0.0,0.0,10.83,1.31,0.0
20190710:0310,0.0,0.0,0.0,9.9,1.31,0.0
20190710:0410,9370.0,35.33,6.59,9.13,1.24,0.0
20190710:0510,34085.0,116.6,15.65,10.19,0.76,0.0
20190710:0610,118710.0,312.28,25.22,12.52,0.97,0.0
20190710:0710,213680.0,531.78,34.95,13.92,0.97,0.0
20190710:0810,258425.0,643.34,44.45,15.8,1.72,0.0
20190710:0910,314015.0,790.2,53.08,17.11,2.41,0.0
20190710:1010,376940.0,970.69,59.76,18.32,2.48,0.0
20190710:1110,372785.0,967.36,62.75,19.25,2.34,0.0
20190710:1210,352485.0,915.55,60.83,20.44,2.28,0.0
20190710:1310,320425.0,827.56,54.83,21.07,2.14,0.0
20190710:1410,276325.0,708.48,46.52,21.51,1.93,0.0
20190710:1510,199960.0,513.35,37.15,21.74,1.86,0.0
20190710:1610,108385.0,296.79,27.44,21.71,2.14,0.0
20190710:1710,31525.0,113.94,17.8,21.41,2.41,0.0
20190710:1810,12255.0,44.81,8.6,20.78,2.28,0.0
20190710:1910,0.0,0.0,0.0,19.58,1.79,0.0
20190710:2010,0.0,0.0,0.0,18.05,1.93,0.0
20190710:2110,0.0,0.0,0.0,16.87,2.0,0.0
20190710:2210,0.0,0.0,0.0,15.95,1.93,0.0
20190710:2310,0.0,0.0,0.0,15.18,1.79,0.0
20190711:0010,0.0,0.0,0.0,14.51,1.52,0.0
20190711:0110,0.0,0.0,0.0,13.32,1.24,0.0
20190711:0210,0.0,0.0,0.0,12.78,1.17,0.0
20190711:0310,0.0,0.0,0.0,13.05,1.66,0.0
20190711:0410,8555.0,33.61,6.47,12.96,1.86,0.0
20190711:0510,16365.0,54.23,15.54,13.92,1.72,0.0
20190711:0610,31465.0,91.91,25.1,15.62,1.79,0.0
20190711:0710,24505.0,75.37,34.84,16.53,0.41,0.0
20190711:0810,99360.0,255.54,44.33,16.84,0.48,0.0
20190711:0910,135105.0,342.23,52.96,17.42,1.03,0.0
20190711:1010,160610.0,404.37,59.63,17.97,1.72,0.0
20190711:1110,147905.0,373.38,62.62,18.71,2.28,0.0
20190711:1210,96840.0,250.0,60.72,19.24,2.76,0.0
20190711:1310,131390.0,333.12,54.74,19.42,2.9,0.0
20190711:1410,117700.0,298.93,46.44,18.8,2.97,0.0
20190711:1510,56465.0,152.58,37.08,17.77,2.55,0.0
20190711:1610,30175.0,89.16,27.37,16.72,2.21,0.0
20190711:1710,6600.0,28.49,17.73,16.12,1.86,0.0
20190711:1810,4005.0,20.68,8.52,15.34,1.59,0.0
20190711:1910,0.0,0.0,0.0,14.66,1.93,0.0
20190711:2010,0.0,0.0,0.0,14.1,1.86,0.0
20190711:2110,0.0,0.0,0.0,13.81,1.93,0.0
20190711:2210,0.0,0.0,0.0,13.62,1.93,0.0
20190711:2310,0.0,0.0,0.0,13.45,1.72,0.0
20190712:0010,0.0,0.0,0.0,13.24,1.52,0.0
20190712:0110,0.0,0.0,0.0,13.01,1.45,0.0
20190712:0210,0.0,0.0,0.0,12.62,1.45,0.0
20190712:0310,0.0,0.0,0.0,11.92,1.59,0.0
20190712:0410,7965.0,31.89,6.35,12.02,1.38,0.0
20190712:0510,28575.0,84.96,15.42,12.88,1.31,0.0
20190712:0610,75025.0,196.5,24.98,14.3,1.38,0.0
20190712:0710,114770.0,288.1,34.72,15.43,2.41,0.0
20190712:0810,209385.0,517.7,44.21,16.91,2.62,0.0
20190712:0910,303760.0,763.36,52.83,18.53,2.9,0.0
20190712:1010,273600.0,690.83,59.49,19.97,2.97,0.0
20190712:1110,29155.0,88.24,62.49,21.25,2.83,0.0
20190712:1210,48150.0,135.11,60.6,21.95,2.83,0.0
20190712:1310,298455.0,764.89,54.64,22.43,2.9,0.0
20190712:1410,245430.0,623.34,46.36,22.08,2.69,0.0
20190712:1510,23635.0,74.45,37.01,21.23,2.34,0.0
20190712:1610,41550.0,117.65,27.29,19.05,2.48,0.0
20190712:1710,35950.0,118.22,17.65,17.39,1.72,0.0
20190712:1810,1895.0,13.79,8.44,17.29,1.45,0.0
20190712:1910,0.0,0.0,0.0,17.05,0.21,0.0
20190712:2010,0.0,0.0,0.0,16.33,0.0,0.0
20190712:2110,0.0,0.0,0.0,15.12,0.83,0.0
20190712:2210,0.0,0.0,0.0,14.61,1.17,0.0
20190712:2310,0.0,0.0,0.0,14.37,1.45,0.0
20190713:0010,0.0,0.0,0.0,14.07,1.86,0.0
20190713:0110,0.0,0.0,0.0,13.59,2.14,0.0
20190713:0210,0.0,0.0,0.0,13.35,2.48,0.0
20190713:0310,0.0,0.0,0.0,13.15,3.03,0.0
20190713:0410,0.0,5.17,6.22,12.96,2.83,0.0
20190713:0510,9375.0,35.85,15.29,13.11,2.76,0.0
20190713:0610,13180.0,45.96,24.86,13.49,2.62,0.0
20190713:0710,34780.0,99.27,34.6,14.36,2.76,0.0
20190713:0810,74885.0,193.94,44.08,15.14,2.76,0.0
20190713:0910,108350.0,272.61,52.7,15.38,2.83,0.0
20190713:1010,150130.0,373.04,59.35,16.26,2.97,0.0
20190713:1110,275990.0,687.93,62.34,17.57,3.17,0.0
20190713:1210,138785.0,349.32,60.47,19.03,3.79,0.0
20190713:1310,101475.0,258.76,54.54,18.25,4.34,0.0
20190713:1410,186475.0,458.51,46.27,17.08,4.21,0.0
20190713:1510,17190.0,56.99,36.93,17.13,3.1,0.0
20190713:1610,99635.0,261.9,27.21,17.01,3.59,0.0
20190713:1710,40785.0,118.29,17.57,16.89,3.66,0.0
20190713:1810,9955.0,37.92,8.35,16.68,2.83,0.0
20190713:1910,0.0,0.0,0.0,15.74,2.97,0.0
20190713:2010,0.0,0.0,0.0,15.24,2.62,0.0
20190713:2110,0.0,0.0,0.0,14.84,2.28,0.0
20190713:2210,0.0,0.0,0.0,14.51,2.07,0.0
20190713:2310,0.0,0.0,0.0,14.4,2.0,0.0
20190714:0010,0.0,0.0,0.0,14.08,1.86,0.0
20190714:0110,0.0,0.0,0.0,14.02,1.79,0.0
20190714:0210,0.0,0.0,0.0,14.0,1.79,0.0
20190714:0310,0.0,0.0,0.0,13.84,1.66,0.0
20190714:0410,0.0,5.17,6.09,13.86,1.59,0.0
20190714:0510,3890.0,20.22,15.17,13.95,1.59,0.0
20190714:0610,44265.0,122.13,24.74,14.61,1.66,0.0
20190714:0710,88830.0,226.96,34.47,14.82,1.66,0.0
20190714:0810,113295.0,285.48,43.95,15.42,1.59,0.0
20190714:0910,123065.0,310.68,52.56,16.63,1.66,0.0
20190714:1010,172785.0,432.7,59.2,17.45,1.93,0.0
20190714:1110,209310.0,524.67,62.2,18.05,2.14,0.0
20190714:1210,262480.0,663.35,60.34,18.89,2.21,0.0
20190714:1310,307185.0,782.5,54.43,19.54,2.28,0.0
20190714:1410,175675.0,443.18,46.18,19.91,2.21,0.0
20190714:1510,140775.0,358.59,36.84,20.21,2.28,0.0
20190714:1610,98770.0,264.26,27.13,19.82,2.34,0.0
20190714:1710,37275.0,120.03,17.48,19.25,2.48,0.0
20190714:1810,12710.0,45.68,8.25,18.73,2.14,0.0
20190714:1910,0.0,0.0,0.0,16.65,1.93,0.0
20190714:2010,0.0,0.0,0.0,15.95,2.14,0.0
20190714:2110,0.0,0.0,0.0,15.32,2.07,0.0
20190714:2210,0.0,0.0,0.0,14.77,1.86,0.0
20190714:2310,0.0,0.0,0.0,14.29,1.79,0.0
20190715:0010,0.0,0.0,0.0,13.91,1.93,0.0
20190715:0110,0.0,0.0,0.0,13.53,2.0,0.0
20190715:0210,0.0,0.0,0.0,13.43,1.86,0.0
20190715:0310,0.0,0.0,0.0,13.38,1.93,0.0
20190715:0410,6690.0,28.44,5.95,13.09,1.86,0.0
20190715:0510,34525.0,112.04,15.04,13.57,1.86,0.0
20190715:0610,109480.0,288.11,24.61,14.76,2.62,0.0
20190715:0710,206175.0,508.99,34.34,16.17,3.1,0.0
20190715:0810,277095.0,690.22,43.82,17.5,2.55,0.0
20190715:0910,286105.0,724.03,52.42,18.55,2.07,0.0
20190715:1010,270455.0,689.75,59.05,19.48,1.79,0.0
20190715:1110,321365.0,834.9,62.04,20.34,1.72,0.0
20190715:1210,314870.0,821.06,60.2,21.09,1.59,0.0
20190715:1310,289305.0,750.15,54.31,21.53,1.52,0.0
20190715:1410,231810.0,594.43,46.08,21.67,1.45,0.0
20190715:1510,126230.0,326.66,36.75,21.71,1.38,0.0
20190715:1610,65565.0,178.58,27.03,21.61,1.52,0.0
20190715:1710,38485.0,121.87,17.39,21.34,1.79,0.0
20190715:1810,12570.0,45.68,8.15,20.69,1.45,0.0
20190715:1910,0.0,0.0,0.0,19.45,1.38,0.0
20190715:2010,0.0,0.0,0.0,17.69,1.1,0.0
20190715:2110,0.0,0.0,0.0,16.78,0.9,0.0
20190715:2210,0.0,0.0,0.0,15.68,1.1,0.0
20190715:2310,0.0,0.0,0.0,15.28,1.72,0.0
20190716:0010,0.0,0.0,0.0,14.29,2.07,0.0
20190716:0110,0.0,0.0,0.0,13.59,2.07,0.0
20190716:0210,0.0,0.0,0.0,12.94,2.07,0.0
20190716:0310,0.0,0.0,0.0,12.41,2.0,0.0
20190716:0410,7660.0,31.03,5.81,11.95,1.86,0.0
20190716:0510,31355.0,108.62,14.9,12.34,1.93,0.0
20190716:0610,63900.0,168.43,24.48,13.56,1.93,0.0
20190716:0710,66740.0,173.96,34.21,13.88,2.62,0.0
20190716:0810,200415.0,490.07,43.68,15.09,3.03,0.0
20190716:0910,336315.0,838.19,52.27,16.55,3.24,0.0
20190716:1010,391280.0,1000.14,58.89,17.88,2.97,0.0
20190716:1110,398485.0,1029.37,61.88,19.21,2.97,0.0
20190716:1210,382365.0,987.53,60.06,20.54,3.1,0.0
20190716:1310,343775.0,883.81,54.19,21.67,2.97,0.0
20190716:1410,281290.0,715.61,45.97,22.32,2.97,0.0
20190716:1510,202655.0,517.3,36.65,22.4,2.97,0.0
20190716:1610,109550.0,305.27,26.94,22.29,2.9,0.0
20190716:1710,23635.0,99.67,17.29,21.88,2.62,0.0
20190716:1810,10960.0,41.37,8.04,21.15,2.0,0.0
20190716:1910,0.0,0.0,0.0,19.5,2.07,0.0
20190716:2010,0.0,0.0,0.0,18.05,1.93,0.0
20190716:2110,0.0,0.0,0.0,16.86,1.79,0.0
20190716:2210,0.0,0.0,0.0,15.83,1.66,0.0
20190716:2310,0.0,0.0,0.0,14.84,1.59,0.0
20190717:0010,0.0,0.0,0.0,13.99,1.52,0.0
20190717:0110,0.0,0.0,0.0,13.22,1.52,0.0
20190717:0210,0.0,0.0,0.0,12.6,1.52,0.0
20190717:0310,0.0,0.0,0.0,12.11,1.45,0.0
20190717:0410,7045.0,29.3,5.67,11.78,1.38,0.0
20190717:0510,29095.0,106.07,14.76,12.8,0.9,0.0
20190717:0610,113320.0,304.64,24.35,15.3,0.83,0.0
20190717:0710,208835.0,529.94,34.08,17.11,0.62,0.0
20190717:0810,278555.0,717.92,43.55,18.82,0.62,0.0
20190717:0910,331760.0,871.73,52.12,20.32,1.03,0.0
20190717:1010,345625.0,913.13,58.73,21.84,1.59,0.0
20190717:1110,304640.0,798.33,61.72,22.96,1.79,0.0
20190717:1210,300585.0,785.97,59.91,23.46,2.0,0.0
20190717:1310,276085.0,714.84,54.06,23.53,2.21,0.0
20190717:1410,232845.0,597.47,45.86,23.5,2.28,0.0
20190717:1510,176265.0,454.91,36.54,23.64,2.21,0.0
20190717:1610,103575.0,284.5,26.83,23.09,2.21,0.0
20190717:1710,28585.0,107.73,17.18,22.65,2.07,0.0
20190717:1810,11865.0,43.95,7.93,21.84,1.72,0.0
20190717:1910,0.0,0.0,0.0,20.72,1.66,0.0
20190717:2010,0.0,0.0,0.0,19.17,1.86,0.0
20190717:2110,0.0,0.0,0.0,18.02,1.93,0.0
20190717:2210,0.0,0.0,0.0,17.19,2.0,0.0
20190717:2310,0.0,0.0,0.0,16.36,1.86,0.0
20190718:0010,0.0,0.0,0.0,15.65,1.79,0.0
20190718:0110,0.0,0.0,0.0,15.13,1.72,0.0
20190718:0210,0.0,0.0,0.0,14.49,1.66,0.0
20190718:0310,0.0,0.0,0.0,13.7,1.59,0.0
20190718:0410,6695.0,28.44,5.52,12.96,1.52,0.0
20190718:0510,32195.0,107.82,14.62,13.68,0.9,0.0
20190718:0610,106685.0,286.68,24.21,16.64,0.76,0.0
20190718:0710,191140.0,489.01,33.94,18.67,0.41,0.0
20190718:0810,251700.0,652.14,43.4,20.54,0.48,0.0
20190718:0910,283655.0,738.5,51.97,22.26,1.38,0.0
20190718:1010,293035.0,764.69,58.56,23.5,2.0,0.0
20190718:1110,331220.0,872.9,61.54,24.32,2.34,0.0
20190718:1210,330745.0,870.03,59.75,24.73,2.55,0.0
20190718:1310,261635.0,676.18,53.92,25.06,2.9,0.0
20190718:1410,189120.0,485.79,45.74,24.93,2.97,0.0
20190718:1510,187630.0,485.01,36.43,24.67,2.69,0.0
20190718:1610,104720.0,290.92,26.72,24.22,2.48,0.0
20190718:1710,25345.0,102.32,17.07,23.9,2.34,0.0
20190718:1810,12100.0,44.81,7.81,23.09,1.66,0.0
20190718:1910,0.0,0.0,0.0,21.8,1.79,0.0
20190718:2010,0.0,0.0,0.0,20.38,1.59,0.0
20190718:2110,0.0,0.0,0.0,19.29,1.66,0.0
20190718:2210,0.0,0.0,0.0,18.39,1.59,0.0
20190718:2310,0.0,0.0,0.0,18.27,1.72,0.0
20190719:0010,0.0,0.0,0.0,17.61,2.07,0.0
20190719:0110,0.0,0.0,0.0,17.46,2.28,0.0
20190719:0210,0.0,0.0,0.0,16.79,1.79,0.0
20190719:0310,0.0,0.0,0.0,16.01,1.31,0.0
20190719:0410,0.0,4.31,5.37,16.69,0.55,0.0
20190719:0510,33265.0,103.09,14.48,16.7,0.34,0.0
20190719:0610,54880.0,150.77,24.07,18.79,0.69,0.0
20190719:0710,142895.0,365.16,33.8,19.84,1.17,0.0
20190719:0810,103715.0,269.03,43.26,20.71,1.66,0.0
20190719:0910,152450.0,390.26,51.81,21.92,2.0,0.0
20190719:1010,63715.0,173.72,58.39,22.7,2.0,0.0
20190719:1110,199020.0,511.86,61.37,22.68,1.72,0.0
20190719:1210,170915.0,440.38,59.58,23.05,1.72,0.0
20190719:1310,194325.0,500.48,53.78,23.32,1.72,0.0
20190719:1410,78085.0,209.73,45.61,23.94,2.21,0.0
20190719:1510,163915.0,423.83,36.31,24.16,2.34,0.0
20190719:1610,68645.0,188.17,26.61,24.07,2.34,0.0
20190719:1710,38525.0,117.13,16.95,23.41,2.28,0.0
20190719:1810,10890.0,41.37,7.69,22.33,1.93,0.0
20190719:1910,0.0,0.0,0.0,21.02,1.03,0.0
20190719:2010,0.0,0.0,0.0,20.06,0.9,0.0
20190719:2110,0.0,0.0,0.0,19.07,0.97,0.0
20190719:2210,0.0,0.0,0.0,18.22,1.03,0.0
20190719:2310,0.0,0.0,0.0,17.46,1.1,0.0
20190720:0010,0.0,0.0,0.0,16.72,1.1,0.0
20190720:0110,0.0,0.0,0.0,16.53,0.97,0.0
20190720:0210,0.0,0.0,0.0,16.55,0.9,0.0
20190720:0310,0.0,0.0,0.0,16.34,0.83,0.0
20190720:0410,5710.0,25.85,5.22,15.45,1.03,0.0
20190720:0510,32930.0,102.63,14.33,16.65,0.62,0.0
20190720:0610,106375.0,291.71,23.93,19.56,0.97,0.0
20190720:0710,195105.0,501.98,33.66,21.51,1.17,0.0
20190720:0810,268130.0,696.98,43.11,23.42,1.38,0.0
20190720:0910,325230.0,864.19,51.65,25.08,1.66,0.0
20190720:1010,347160.0,935.28,58.21,26.6,1.93,0.0
20190720:1110,323195.0,868.48,61.18,27.77,2.14,0.0
20190720:1210,300130.0,802.01,59.41,28.55,2.34,0.0
20190720:1310,289105.0,771.15,53.63,29.19,2.34,0.0
20190720:1410,229515.0,605.75,45.48,29.38,2.34,0.0
20190720:1510,159945.0,424.62,36.19,29.59,2.41,0.0
20190720:1610,92625.0,260.08,26.49,29.47,2.9,0.0
20190720:1710,35570.0,108.3,16.83,25.65,2.97,0.0
20190720:1810,11055.0,42.23,7.55,24.8,1.45,0.0
20190720:1910,0.0,0.0,0.0,24.25,1.45,0.0
20190720:2010,0.0,0.0,0.0,22.68,1.86,0.0
20190720:2110,0.0,0.0,0.0,21.39,1.79,0.0
20190720:2210,0.0,0.0,0.0,20.38,1.59,0.0
20190720:2310,0.0,0.0,0.0,19.6,1.59,0.0
20190721:0010,0.0,0.0,0.0,18.78,1.59,0.0
20190721:0110,0.0,0.0,0.0,18.54,1.52,0.0
20190721:0210,0.0,0.0,0.0,18.65,2.0,0.0
20190721:0310,0.0,0.0,0.0,18.63,2.14,0.0
20190721:0410,775.0,9.48,5.07,18.15,1.93,0.0
20190721:0510,5290.0,24.82,14.18,17.84,1.59,0.0
20190721:0610,21055.0,67.1,23.78,18.05,1.31,0.0
20190721:0710,50500.0,138.79,33.51,18.54,2.76,0.0
20190721:0810,225920.0,561.22,42.95,19.84,3.93,0.0
20190721:0910,194895.0,491.06,51.49,21.41,3.38,0.0
20190721:1010,265605.0,676.73,58.03,22.05,2.97,0.0
20190721:1110,150360.0,385.41,60.99,23.23,3.31,0.0
20190721:1210,82065.0,218.75,59.24,23.87,3.38,0.0
20190721:1310,333270.0,860.33,53.48,24.02,3.45,0.0
20190721:1410,219415.0,558.59,45.34,24.2,3.59,0.0
20190721:1510,157725.0,405.26,36.06,24.15,3.66,0.0
20190721:1610,103520.0,286.73,26.36,24.14,3.66,0.0
20190721:1710,28785.0,106.1,16.7,23.73,3.31,0.0
20190721:1810,10855.0,41.37,7.42,23.04,2.55,0.0
20190721:1910,0.0,0.0,0.0,21.84,1.59,0.0
20190721:2010,0.0,0.0,0.0,20.47,1.52,0.0
20190721:2110,0.0,0.0,0.0,18.97,1.31,0.0
20190721:2210,0.0,0.0,0.0,18.28,1.38,0.0
20190721:2310,0.0,0.0,0.0,17.89,1.17,0.0
20190722:0010,0.0,0.0,0.0,19.24,0.41,0.0
20190722:0110,0.0,0.0,0.0,18.77,0.14,0.0
20190722:0210,0.0,0.0,0.0,18.26,0.07,0.0
20190722:0310,0.0,0.0,0.0,17.74,0.48,0.0
20190722:0410,3960.0,20.68,4.91,17.11,0.62,0.0
20190722:0510,31715.0,98.73,14.03,16.59,0.69,0.0
20190722:0610,87925.0,237.43,23.63,19.35,0.62,0.0
20190722:0710,156750.0,402.13,33.36,20.4,0.83,0.0
20190722:0810,238715.0,615.13,42.8,22.28,1.24,0.0
20190722:0910,237035.0,614.54,51.32,23.97,1.66,0.0
20190722:1010,233910.0,608.96,57.85,25.35,2.07,0.0
20190722:1110,350715.0,941.47,60.8,26.16,2.14,0.0
20190722:1210,329255.0,878.23,59.05,26.71,2.28,0.0
20190722:1310,311855.0,825.65,53.31,27.28,2.48,0.0
20190722:1410,256125.0,668.6,45.2,27.46,2.69,0.0
20190722:1510,166100.0,434.86,35.93,27.44,2.9,0.0
20190722:1610,101990.0,287.77,26.23,27.0,2.9,0.0
20190722:1710,34685.0,106.59,16.56,26.32,2.69,0.0
20190722:1810,9500.0,37.92,7.28,25.21,2.14,0.0
20190722:1910,0.0,0.0,0.0,23.71,2.07,0.0
20190722:2010,0.0,0.0,0.0,22.22,2.07,0.0
20190722:2110,0.0,0.0,0.0,21.05,1.86,0.0
20190722:2210,0.0,0.0,0.0,20.02,1.72,0.0
20190722:2310,0.0,0.0,0.0,19.15,1.66,0.0
20190723:0010,0.0,0.0,0.0,18.68,1.72,0.0
20190723:0110,0.0,0.0,0.0,18.21,1.79,0.0
20190723:0210,0.0,0.0,0.0,17.57,1.79,0.0
20190723:0310,0.0,0.0,0.0,16.87,1.72,0.0
20190723:0410,5105.0,24.13,4.74,16.34,1.52,0.0
20190723:0510,24565.0,96.1,13.88,17.05,1.1,0.0
20190723:0610,105405.0,291.99,23.48,20.52,0.9,0.0
20190723:0710,200350.0,519.6,33.21,22.87,1.1,0.0
20190723:0810,273145.0,714.17,42.64,24.67,1.45,0.0
20190723:0910,327830.0,876.69,51.15,25.99,1.59,0.0
20190723:1010,362180.0,992.62,57.66,27.15,1.45,0.0
20190723:1110,363935.0,1010.57,60.6,28.15,1.24,0.0
20190723:1210,348825.0,969.89,58.86,29.02,1.1,0.0
20190723:1310,315790.0,867.51,53.15,29.68,1.1,0.0
20190723:1410,261445.0,704.62,45.05,30.08,1.24,0.0
20190723:1510,190110.0,511.2,35.79,30.25,1.31,0.0
20190723:1610,101065.0,294.61,26.09,30.11,1.52,0.0
20190723:1710,22640.0,96.75,16.42,29.63,1.66,0.0
20190723:1810,9930.0,39.64,7.13,28.47,1.45,0.0
20190723:1910,0.0,0.0,0.0,26.77,1.79,0.0
20190723:2010,0.0,0.0,0.0,24.96,1.86,0.0
20190723:2110,0.0,0.0,0.0,23.59,1.93,0.0
20190723:2210,0.0,0.0,0.0,22.6,2.07,0.0
20190723:2310,0.0,0.0,0.0,21.9,2.21,0.0
20190724:0010,0.0,0.0,0.0,21.38,2.41,0.0
20190724:0110,0.0,0.0,0.0,20.89,2.48,0.0
20190724:0210,0.0,0.0,0.0,20.33,2.28,0.0
20190724:0310,0.0,0.0,0.0,19.79,2.14,0.0
20190724:0410,4460.0,22.41,4.58,19.34,2.0,0.0
20190724:0510,24400.0,96.04,13.72,19.86,1.72,0.0
20190724:0610,104965.0,292.08,23.33,22.16,1.66,0.0
20190724:0710,197520.0,513.23,33.05,24.67,1.79,0.0
20190724:0810,269420.0,709.0,42.48,26.91,1.79,0.0
20190724:0910,318925.0,864.83,50.97,28.67,1.52,0.0
20190724:1010,351605.0,979.59,57.46,30.03,1.31,0.0
20190724:1110,354055.0,997.08,60.39,31.13,1.24,0.0
20190724:1210,340860.0,956.72,58.67,31.94,1.31,0.0
20190724:1310,309100.0,856.3,52.97,32.48,1.38,0.0
20190724:1410,257870.0,703.28,44.89,32.8,1.38,0.0
20190724:1510,185875.0,506.04,35.64,32.87,1.38,0.0
20190724:1610,99225.0,292.24,25.95,32.61,1.45,0.0
20190724:1710,23420.0,98.13,16.27,32.09,1.66,0.0
20190724:1810,9210.0,37.92,6.97,30.82,1.66,0.0
20190724:1910,0.0,0.0,0.0,28.98,2.28,0.0
20190724:2010,0.0,0.0,0.0,27.22,2.34,0.0
20190724:2110,0.0,0.0,0.0,25.82,2.21,0.0
20190724:2210,0.0,0.0,0.0,24.66,2.07,0.0
20190724:2310,0.0,0.0,0.0,23.67,2.0,0.0
20190725:0010,0.0,0.0,0.0,22.69,1.86,0.0
20190725:0110,0.0,0.0,0.0,21.82,1.86,0.0
20190725:0210,0.0,0.0,0.0,21.09,1.79,0.0
20190725:0310,0.0,0.0,0.0,20.32,1.72,0.0
20190725:0410,3370.0,18.96,4.41,19.67,1.66,0.0
20190725:0510,28125.0,98.27,13.56,20.26,1.31,0.0
20190725:0610,101875.0,285.11,23.17,23.75,1.17,0.0
20190725:0710,193335.0,508.76,32.9,26.29,1.31,0.0
20190725:0810,242900.0,645.47,42.31,28.65,1.45,0.0
20190725:0910,314410.0,860.31,50.79,30.46,1.52,0.0
20190725:1010,349565.0,975.14,57.26,31.89,1.72,0.0
20190725:1110,352930.0,992.27,60.18,33.0,1.79,0.0
20190725:1210,329670.0,922.89,58.47,33.61,1.72,0.0
20190725:1310,278225.0,767.19,52.79,33.96,1.66,0.0
20190725:1410,242600.0,661.28,44.73,34.33,1.86,0.0
20190725:1510,183535.0,499.95,35.49,34.36,2.14,0.0
20190725:1610,98820.0,291.02,25.8,34.02,2.48,0.0
20190725:1710,25640.0,101.86,16.12,33.07,2.62,0.0
20190725:1810,9170.0,37.92,6.81,31.69,2.21,0.0
20190725:1910,0.0,0.0,0.0,29.82,1.79,0.0
20190725:2010,0.0,0.0,0.0,27.96,1.86,0.0
20190725:2110,0.0,0.0,0.0,26.55,2.0,0.0
20190725:2210,0.0,0.0,0.0,25.3,2.07,0.0
20190725:2310,0.0,0.0,0.0,24.22,2.07,0.0
20190726:0010,0.0,0.0,0.0,23.35,2.14,0.0
20190726:0110,0.0,0.0,0.0,22.58,2.07,0.0
20190726:0210,0.0,0.0,0.0,21.95,2.0,0.0
20190726:0310,0.0,0.0,0.0,21.23,2.0,0.0
20190726:0410,2580.0,16.37,4.24,20.54,1.93,0.0
20190726:0510,27665.0,97.15,13.4,20.79,1.66,0.0
20190726:0610,99560.0,277.76,23.01,23.82,1.52,0.0
20190726:0710,189850.0,496.83,32.74,26.17,1.79,0.0
20190726:0810,261945.0,693.79,42.15,28.52,1.86,0.0
